------interval = 1------
value: 0.7744838111972194  |   index : 9  | accuracy: 0.0010382426559144365
value: 0.8091397103831457  |   index : 10  | accuracy: 0.0577824309019961
value: 0.9348341396491175  |   index : 11  | accuracy: 0.01491432986214902
value: 1.027754779377809  |   index : 12  | accuracy: 0.0015246583418894407
value: 1.030871502468873  |   index : 13  | accuracy: 0.03245911048579202
value: 0.9572523661119533  |   index : 14  | accuracy: 0.025507413233685657
value: 0.8377433336205209  |   index : 15  | accuracy: 6.773977469415658E-4
value: 0.7749613788396479  |   index : 16  | accuracy: 7.872962575877233E-4
value: 0.7577471249258613  |   index : 17  | accuracy: 0.028165936746470492
value: 0.8214817021259477  |   index : 18  | accuracy: 0.006161167955281401
value: 0.8899593395066203  |   index : 19  | accuracy: 0.0021937085938206554
value: 0.9484089906042229  |   index : 20  | accuracy: 0.0016144424680404651
value: 1.0107656287671944  |   index : 21  | accuracy: 7.890946898047914E-4
value: 1.088372390420143  |   index : 22  | accuracy: 0.007261434824000199
value: 1.150710528165033  |   index : 23  | accuracy: 5.168570383924891E-4
value: 1.1520549319200952  |   index : 24  | accuracy: 0.023724946744964063
value: 1.1445794537543614  |   index : 25  | accuracy: 9.184640977707334E-4
value: 1.1588904407261564  |   index : 26  | accuracy: 0.014082166165702402
value: 1.1864529436451345  |   index : 27  | accuracy: 3.4488579534489776E-4
value: 1.1983384974115454  |   index : 28  | accuracy: 0.002941233280568306
value: 1.1892160116601518  |   index : 29  | accuracy: 3.246075421332091E-4
value: 1.4180019406048276  |   index : 30  | accuracy: 0.038190390057067036
value: 2.0087521753758484  |   index : 31  | accuracy: 0.7076864624667397
value: 2.837395787798702  |   index : 32  | accuracy: 0.2756565719856125
value: 3.6081378517100715  |   index : 33  | accuracy: 0.12147190802064914
value: 4.12913722081826  |   index : 34  | accuracy: 0.13108442241771076
value: 4.487489650389441  |   index : 35  | accuracy: 0.06718077386757118
value: 4.725277911307614  |   index : 36  | accuracy: 0.056168673996504125
value: 4.857984007894208  |   index : 37  | accuracy: 0.017750167757030918
value: 4.909039634680046  |   index : 38  | accuracy: 0.02167728058030496
value: 4.918720638604439  |   index : 39  | accuracy: 0.01230909865257046
value: 4.941117865838422  |   index : 40  | accuracy: 0.0042406568577752594
value: 4.981250511193426  |   index : 41  | accuracy: 0.0036403745594592593
value: 4.9894027954322295  |   index : 42  | accuracy: 0.008374762047610186
value: 5.01778348233252  |   index : 43  | accuracy: 7.181892485003489E-4
value: 5.062312032150091  |   index : 44  | accuracy: 0.026622976774200863
value: 5.1171312925388985  |   index : 45  | accuracy: 0.003295188655050676
value: 5.1292492684413435  |   index : 46  | accuracy: 0.01029069137215058
value: 5.127085142809239  |   index : 47  | accuracy: 7.156445901885144E-4
value: 5.16048760268745  |   index : 48  | accuracy: 6.106091579332587E-4
value: 5.169443965532626  |   index : 49  | accuracy: 2.7256413757943145E-4
value: 5.168464883082413  |   index : 50  | accuracy: 0.007908042363752914
value: 5.146972588313954  |   index : 51  | accuracy: 5.513044446148403E-6
value: 5.121678918348043  |   index : 52  | accuracy: 2.559585413926545E-4
value: 5.111952898877927  |   index : 53  | accuracy: 9.000242679271371E-4
value: 5.0829930650317365  |   index : 54  | accuracy: 0.0014189883681623955
value: 5.027120368668447  |   index : 55  | accuracy: 0.005885300574658686
value: 4.966690894214825  |   index : 56  | accuracy: 0.004288014033756174
value: 4.924796265574278  |   index : 57  | accuracy: 0.014436092440171225
value: 4.935191385112202  |   index : 58  | accuracy: 0.0023687830926857147
value: 4.99717465272984  |   index : 59  | accuracy: 0.0033839584978913317
value: 5.061126363481211  |   index : 60  | accuracy: 0.010440893036194346
value: 5.0943114608413  |   index : 61  | accuracy: 0.01785580783213363
value: 4.824486648872544  |   index : 62  | accuracy: 0.13096898181479696
value: 4.125672175490917  |   index : 63  | accuracy: 0.7625900280967642
value: 3.1773514975176367  |   index : 64  | accuracy: 0.36520836844204957
value: 2.3133753389971954  |   index : 65  | accuracy: 0.14778256027774228
value: 1.7635501336390274  |   index : 66  | accuracy: 0.2889901645926603
value: 1.4609062434522981  |   index : 67  | accuracy: 0.12388686956657322
value: 1.3089069878869806  |   index : 68  | accuracy: 0.10035325114217201
value: 1.2213030388971193  |   index : 69  | accuracy: 0.008977381856601643
value: 1.147789884824794  |   index : 70  | accuracy: 0.0028744084747796333
value: 1.0831528104130577  |   index : 71  | accuracy: 0.005536585353326982
value: 1.043638921445024  |   index : 72  | accuracy: 0.0020292768135449428
value: 0.9920210100510127  |   index : 73  | accuracy: 0.0022386255696655905
value: 0.941911781274535  |   index : 74  | accuracy: 5.496114375454194E-5
value: 0.9219791975913426  |   index : 75  | accuracy: 0.005979366696715814
value: 0.9150115770176166  |   index : 76  | accuracy: 0.0012313638600954747
value: 0.9278110477183679  |   index : 77  | accuracy: 5.559472489618112E-4
value: 0.9129586344104041  |   index : 78  | accuracy: 0.00109574849814408
value: 0.9256833003869345  |   index : 79  | accuracy: 0.002037171824123856
value: 0.9806953354874912  |   index : 80  | accuracy: 0.01196828796864583
value: 1.0479720989531958  |   index : 81  | accuracy: 0.010493806927697911
value: 1.0658558916413992  |   index : 82  | accuracy: 0.033178757819514175
value: 1.0085373453726845  |   index : 83  | accuracy: 0.01726738849936002
value: 0.9750517891889385  |   index : 84  | accuracy: 0.003892363546432925
value: 1.0230357110443125  |   index : 85  | accuracy: 0.021545171426186442
value: 1.1057350611131658  |   index : 86  | accuracy: 0.008795683903060793
value: 1.1166243432610632  |   index : 87  | accuracy: 0.016068692919257128
value: 1.0487182650772198  |   index : 88  | accuracy: 0.05131724321623725
value: 0.9856727893009067  |   index : 89  | accuracy: 0.002495991295610866
value: 0.9918629818834257  |   index : 90  | accuracy: 0.03297685790910008
value: 1.0039081830128906  |   index : 91  | accuracy: 1.724650358964715E-4
value: 0.9538587655221414  |   index : 92  | accuracy: 0.0206659726303191
value: 0.8953104810328104  |   index : 93  | accuracy: 0.0010264639524652577
value: 0.8553877696139269  |   index : 94  | accuracy: 0.011412536378018338
value: 0.8405647775000861  |   index : 95  | accuracy: 5.351938537434442E-6
value: 0.8688208824046633  |   index : 96  | accuracy: 0.00105545587274314
value: 0.9917151304225426  |   index : 97  | accuracy: 0.047873789567743075
------interval = 3------
value: 0.8961907064242945  |   index : 3  | accuracy: 0.003162747345377179
value: 0.9192033297610585  |   index : 6  | accuracy: 0.006434098711577114
value: 0.895308496921844  |   index : 7  | accuracy: 9.263155932851753E-4
value: 0.8993336687184316  |   index : 10  | accuracy: 0.008134950120187284
value: 0.9210676440792024  |   index : 11  | accuracy: 1.8951640027649373E-4
value: 0.9212835247452055  |   index : 13  | accuracy: 0.012009524861563061
value: 0.8854014502428859  |   index : 14  | accuracy: 0.005162554111223808
value: 0.8609104705539826  |   index : 15  | accuracy: 5.367162336937665E-4
value: 0.8484100652570241  |   index : 17  | accuracy: 0.008219768749491995
value: 0.8792710822363772  |   index : 18  | accuracy: 0.003339612453547698
value: 0.9200212679473185  |   index : 19  | accuracy: 9.037195415736603E-4
value: 0.9779942790567591  |   index : 20  | accuracy: 8.752892928197696E-4
value: 1.0255985869304172  |   index : 21  | accuracy: 2.2001664787191553E-4
value: 1.0656187768848753  |   index : 22  | accuracy: 5.177269289123186E-4
value: 1.1262722374322962  |   index : 24  | accuracy: 6.647473350511819E-4
value: 1.1472661254313432  |   index : 25  | accuracy: 7.218204699896078E-6
value: 1.1653066834959516  |   index : 26  | accuracy: 4.116817128094832E-5
value: 1.2044077770973216  |   index : 27  | accuracy: 3.2237604429577585E-4
value: 2.34128278362563  |   index : 31  | accuracy: 0.1105766054229696
value: 2.8586658923724406  |   index : 32  | accuracy: 4.5241734857776966E-4
value: 3.366856178689755  |   index : 33  | accuracy: 0.05821684573548301
value: 3.82381337787105  |   index : 34  | accuracy: 0.09322264907205245
value: 4.831554317129656  |   index : 38  | accuracy: 0.006003974435884744
value: 4.892186863914286  |   index : 39  | accuracy: 7.040411993078304E-4
value: 4.93018283481925  |   index : 40  | accuracy: 1.1957490339025463E-4
value: 4.957810405281636  |   index : 41  | accuracy: 5.494385651559491E-4
value: 4.995258529495559  |   index : 42  | accuracy: 3.428962142043883E-5
value: 5.029961120722757  |   index : 43  | accuracy: 1.48294876763374E-4
value: 5.059829684491361  |   index : 44  | accuracy: 6.162049898801815E-6
value: 5.088428948740944  |   index : 45  | accuracy: 8.238245394959804E-4
value: 5.109212247632246  |   index : 46  | accuracy: 4.014822029042207E-4
value: 5.126136067853754  |   index : 47  | accuracy: 9.007432711284686E-7
value: 5.138449471977626  |   index : 48  | accuracy: 4.856792051832715E-4
value: 5.140442684855192  |   index : 50  | accuracy: 7.852435934856346E-4
value: 5.114372069946846  |   index : 52  | accuracy: 5.3390033558076737E-5
value: 5.084363509986989  |   index : 53  | accuracy: 7.611743793754121E-4
value: 5.04961553739101  |   index : 54  | accuracy: 0.001114059351407457
value: 5.014592861556371  |   index : 55  | accuracy: 1.5693843444312193E-4
value: 4.9960607295093595  |   index : 56  | accuracy: 8.625872252281051E-4
value: 4.996936827907753  |   index : 57  | accuracy: 0.00520426073378999
value: 4.986469724064888  |   index : 59  | accuracy: 1.1459549772172257E-4
value: 3.7656962312628335  |   index : 63  | accuracy: 0.12958268042290008
value: 3.199953936368977  |   index : 64  | accuracy: 5.108702420285714E-4
value: 2.6624107886399795  |   index : 65  | accuracy: 0.12182574510734048
value: 2.1975324800210307  |   index : 66  | accuracy: 0.18834067697122917
value: 1.5831431763050374  |   index : 68  | accuracy: 0.07520548703806398
value: 1.1447086604586543  |   index : 71  | accuracy: 0.0037891226748359755
value: 1.0590503563632117  |   index : 72  | accuracy: 2.3751232623753666E-4
value: 1.0174960667973096  |   index : 73  | accuracy: 6.489785162270477E-4
value: 0.9566026658818269  |   index : 75  | accuracy: 0.0011987845564621676
value: 0.9424964390695706  |   index : 76  | accuracy: 7.554176420149408E-4
value: 0.9411656006041614  |   index : 77  | accuracy: 1.7834408277945735E-4
value: 0.9832668866937528  |   index : 80  | accuracy: 6.612875606425614E-6
value: 0.9884751352353298  |   index : 81  | accuracy: 0.003539888691645057
value: 0.9957008656519073  |   index : 82  | accuracy: 0.004921727671586279
value: 1.0114003991857272  |   index : 83  | accuracy: 8.197077136378622E-6
value: 1.030860472097206  |   index : 84  | accuracy: 0.003114609087955557
value: 1.0474393024900859  |   index : 85  | accuracy: 5.955352754522257E-4
value: 1.049492947503625  |   index : 86  | accuracy: 0.0031631753432684933
value: 1.0386673002305045  |   index : 87  | accuracy: 0.006077300558068385
value: 1.0236802527855224  |   index : 88  | accuracy: 6.269020595191866E-4
value: 1.006734745748431  |   index : 89  | accuracy: 4.436060093974099E-4
value: 0.987717530030818  |   index : 90  | accuracy: 1.718477106228885E-5
value: 0.9347831789230149  |   index : 92  | accuracy: 3.638780041007768E-4
value: 0.9123561146454586  |   index : 93  | accuracy: 2.905536252566426E-4
value: 0.9153622909317976  |   index : 94  | accuracy: 0.0035969432073077174
------interval = 4------
value: 0.9004266230928243  |   index : 6  | accuracy: 3.525647133049094E-4
value: 0.9028221830484863  |   index : 7  | accuracy: 5.645547920969654E-5
value: 0.895057436170342  |   index : 10  | accuracy: 1.8286164805341046E-5
value: 0.8788145067181465  |   index : 13  | accuracy: 0.0018036174921826568
value: 0.8857387570528241  |   index : 14  | accuracy: 1.1377588403072868E-7
value: 0.8946355993991664  |   index : 17  | accuracy: 0.0021368000067263594
value: 0.9205277998779298  |   index : 18  | accuracy: 0.0017021167505547965
value: 0.9840378282814939  |   index : 20  | accuracy: 3.652448723179288E-5
value: 1.0260765278166528  |   index : 21  | accuracy: 2.2842749073571896E-7
value: 1.0562041972592107  |   index : 22  | accuracy: 8.863430952797918E-5
value: 1.1176244891545388  |   index : 24  | accuracy: 7.47835502754558E-5
value: 2.432008012191351  |   index : 31  | accuracy: 0.00823106709830239
value: 3.2399236647756484  |   index : 33  | accuracy: 0.01611186308855482
value: 3.630524308281804  |   index : 34  | accuracy: 0.03736066442267637
value: 4.920005075006259  |   index : 40  | accuracy: 1.0358679481093154E-4
value: 4.959224328075185  |   index : 41  | accuracy: 1.999177666116198E-6
value: 5.020026985103594  |   index : 43  | accuracy: 9.868705049992984E-5
value: 5.074001136544767  |   index : 45  | accuracy: 2.081617647681651E-4
value: 5.092533419276304  |   index : 46  | accuracy: 2.7818331532696857E-4
value: 5.118020120976937  |   index : 48  | accuracy: 4.173583823093522E-4
value: 5.115766662681512  |   index : 50  | accuracy: 6.089060703159542E-4
value: 5.076458305869602  |   index : 53  | accuracy: 6.249225213755306E-5
value: 5.049551885365401  |   index : 54  | accuracy: 4.0515803641833565E-9
value: 5.023411060412009  |   index : 57  | accuracy: 7.008849866894143E-4
value: 3.694765986333896  |   index : 63  | accuracy: 0.005031099645679034
value: 2.882090417748021  |   index : 65  | accuracy: 0.04825913944504663
value: 2.4679968680915243  |   index : 66  | accuracy: 0.07315098521434654
value: 1.796326953612182  |   index : 68  | accuracy: 0.0454473229069422
value: 1.1940106279513256  |   index : 71  | accuracy: 0.0024306839986484225
value: 0.9879306080821422  |   index : 75  | accuracy: 9.814399625062973E-4
value: 0.9679955192980024  |   index : 76  | accuracy: 6.502030924960034E-4
value: 0.9682863277275959  |   index : 79  | accuracy: 0.0018150179385891477
value: 0.9866170693440188  |   index : 81  | accuracy: 3.4524088564533012E-6
value: 0.9984469894560358  |   index : 82  | accuracy: 7.541195947601353E-6
value: 1.012719743858728  |   index : 83  | accuracy: 1.740670366175792E-6
value: 1.0190212182732754  |   index : 84  | accuracy: 1.401679311074576E-4
value: 1.0204355589307808  |   index : 86  | accuracy: 8.443318306732586E-4
value: 1.0178137594845595  |   index : 87  | accuracy: 4.3487016164278506E-4
value: 1.0068370810754865  |   index : 88  | accuracy: 2.83692433253754E-4
value: 0.9931139393712806  |   index : 89  | accuracy: 1.8552636636382273E-4
value: 0.940384886432833  |   index : 92  | accuracy: 3.1379127025552985E-5
value: 0.9444149140723874  |   index : 94  | accuracy: 8.440549113491382E-4
------interval = 5------
